"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.08134714013882e-297,0.506477669065433,0.349,0.076,1.6168131790365e-292,"NDUFA7"
4.74408909182299e-303,0.505907634128386,0.997,0.966,1.08317042144502e-298,"RPS24"
1.40018231811961e-297,0.505781956981244,0.27,0.048,3.19689626873069e-293,"UBR3"
1.65194068015554e-208,0.5056457624225,0.856,0.363,3.77171096093113e-204,"FAM50A"
0,0.504780222424496,0.592,0.162,0,"NDUFAF2"
0,0.504285303711783,0.623,0.153,0,"CMTM8"
0,0.502541811146341,0.365,0.069,0,"ZMYM4"
0,0.502392901397867,0.389,0.074,0,"PIK3C2A"
1.78343750282485e-119,0.502187846631068,0.961,0.612,4.0719445064497e-115,"RAC1"
0,0.50187355874501,0.54,0.138,0,"AP3D1"
1.56824853068082e-115,0.501838633793741,0.936,0.724,3.58062504525045e-111,"LDHA"
0,0.501380273288696,0.595,0.148,0,"ARRDC3"
0,0.500881143095841,0.513,0.12,0,"FNDC3A"
